question,first_hit_rank_dense,reciprocal_rank_dense,hit_page_dense,matched_keywords_dense,hit_preview_dense,first_hit_rank_rerank,reciprocal_rank_rerank,hit_page_rerank,matched_keywords_rerank,hit_preview_rerank,mrr_change
How has AI investment changed in recent years?,1,1.0,3,['investment'],"anwhile, AI adoption has accelerated at an unprecedented rate, as millions of people are now using AI on a regular basis both for their professional work and leisure activities. As high-performing, low-cost, and openly available models proliferate, AI’s accessibility and impact are set to expand eve",1,1.0,260,['investment'],".3.16 presents trends over time in AI focus area investments. As noted earlier, most focus areas saw a boost in investments in the last year. While still substantial, investment in NLP, customer support peaked in 2021 and has since then declined. 4.3 Investment Chapter 4: Economy",0.0
What does the report say about the cost of AI inference?,1,1.0,2,"['inference', 'cost']","Welcome to the eighth edition of the AI Index report. The 2025 Index is our most comprehensive to date and arrives at an important moment, as AI’s influence across society, the economy, and global governance continues to intensify. New in this year’s report are in-depth analyses of the evolving land",1,1.0,65,"['inference', 'cost']","token prices. To analyze inference costs, the AI Index worked with Epoch to measure how costs have decreased for a fixed AI performance threshold. This standardized approach facilitates a more accurate comparison. While newer models may cost more, they also tend to perform significantly better—so co",0.0
What are the trends in AI publications and patents?,1,1.0,28,['publications'],"otals, while the United States leads in highly influential research. In 2023, China produced more AI publications (23.2%) and citations (22.6%) than any other country. Over the past three years, U.S. institutions have contributed the most top-100-cited AI publications. 3. AI publication totals conti",1,1.0,30,['publications'],"larly high-impact research. This year, the AI Index analyzed AI publication trends using the OpenAlex database. As a result, the numbers in this year’s report differ slightly from those in previous editions.1 Given that there is a significant lag in the collection of publication metadata, and that i",0.0
How is AI being used in healthcare?,3,0.3333333333333333,310,['medical'],"lly over the past decade, highlighted by the dramatic increase in the number of AI-enabled medical devices authorized by the U.S. Food and Drug Administration (FDA). The FDA authorized its first AI-enabled medical device in 1995. For the next two decades, annual approvals remained in the single digi",2,0.5,310,['medical'],"lly over the past decade, highlighted by the dramatic increase in the number of AI-enabled medical devices authorized by the U.S. Food and Drug Administration (FDA). The FDA authorized its first AI-enabled medical device in 1995. For the next two decades, annual approvals remained in the single digi",0.16666666666666669
What risks or challenges are associated with AI adoption?,1,1.0,183,['risk'],"iversity and nondiscrimination risks (e.g., fairness concerns, toxicity, discrimination, and stereotype reproduction) Human interaction risks (e.g., misuse by users for the generation of deepfakes or misinformation, overreliance of users on AI models/systems, or physical/mental harm due to model/sys",1,1.0,185,"['risk', 'adoption']",adoption” “Closed-source models are safer”/ “Open-source models are safer” “GenAI risks are the responsibility of foundation model providers”/ “GenAI risks are the responsibility of GenAI users” “RAI risks are industry-speciǇc”/ “RAI risks are industry-agnostic” “Responsible AI is a compliance issue,0.0
What does the report say about foundation models?,1,1.0,201,"['foundation model', 'model']","system; and downstream, encompassing applications and deployments. The latest edition reports a notable rise in transparency among foundation model developers over six months. Figure 3.8.1 reports the FMTI scores for major model developers in the May 2024 release of the index, and Figure 3.8.2 repor",1,1.0,201,"['foundation model', 'model']","system; and downstream, encompassing applications and deployments. The latest edition reports a notable rise in transparency among foundation model developers over six months. Figure 3.8.1 reports the FMTI scores for major model developers in the May 2024 release of the index, and Figure 3.8.2 repor",0.0
How are AI models evaluated in the report?,3,0.3333333333333333,102,"['benchmark', 'evaluation']","may be coming to an end. To truly assess the capabilities of AI systems, more rigorous and comprehensive evaluations are needed. Additionally, when model developers release new models, they typically report benchmark scores, which are often accepted at face value by the broader community. However, t",1,1.0,102,"['benchmark', 'evaluation']","may be coming to an end. To truly assess the capabilities of AI systems, more rigorous and comprehensive evaluations are needed. Additionally, when model developers release new models, they typically report benchmark scores, which are often accepted at face value by the broader community. However, t",0.6666666666666667
What does the report say about AI education?,1,1.0,394,"['education', 'AI']","ntelligence and Education, it offered specific guidance that is relevant for both K–12 and postsecondary settings with an eye toward achieving the Education 2030 agenda goals via AI technologies. The 2019 report includes five implementation and policy guidelines pertaining to AI education in postsec",1,1.0,378,"['education', 'AI']",". The U.S. Department of Education’s Office of Educational Technology released a series of reports about AI in education in 2023 and 2024. One of the reports focuses on recommendations for educational technology developers, and two of them are intended for educators, educational leaders, and policym",0.0
What are the trends in responsible AI?,1,1.0,16,['responsible AI'],"kernels, while delivering results faster and at lower costs. 1. Evaluating AI systems with responsible AI (RAI) criteria is still uncommon, but new benchmarks are beginning to emerge. Last year’s AI Index highlighted the lack of standardized RAI benchmarks for LLMs. While this issue persists, new be",1,1.0,167,['responsible AI'],"tions In this chapter, the AI Index explores four key dimensions of responsible AI: privacy and data governance, transparency and explainability, security and safety, and fairness. Other dimensions of responsible AI, such as sustainability and reliability, are discussed elsewhere in the report. Figu",0.0
What does the report say about AI regulation?,1,1.0,351,"['regulation', 'policy']","scope, regulatory intent, and originating agencies. To compile this data, the AI Index performed a keyword search for “artificial intelligence” on the Federal Register, a comprehensive repository of government documents from nearly all branches of the American government, encompassing more than 436 ",1,1.0,412,"['regulation', 'policy']","n 2022 and 2023, the study gathered responses from approximately 1,000 policymakers. Its timing allowed researchers to compare how policymakers’ views on AI shifted before and after the launch of ChatGPT. Figure 8.2.1 illustrates the extent to which local policymakers agree with the statement: AI sh",0.0
